ts,device_id,respiration_rate_bpm,presence,event
2025-10-04 23:40:33.879049+00:00,demo-1,25.014315422280212,True,
2025-10-04 23:40:34.879049+00:00,demo-1,23.724104241079996,True,
2025-10-04 23:40:35.879049+00:00,demo-1,24.027025405443123,True,
2025-10-04 23:40:36.879049+00:00,demo-1,24.25550968171944,True,
2025-10-04 23:40:37.879049+00:00,demo-1,23.541312640713084,True,
2025-10-04 23:40:38.879049+00:00,demo-1,24.019572269308206,True,
2025-10-04 23:40:39.879049+00:00,demo-1,24.02146506386327,True,
2025-10-04 23:40:40.879049+00:00,demo-1,22.972830963950212,True,
2025-10-04 23:40:41.879049+00:00,demo-1,24.63992646653051,True,
2025-10-04 23:40:42.879049+00:00,demo-1,24.39329673148489,True,
2025-10-04 23:40:43.879049+00:00,demo-1,23.6614060202109,True,
2025-10-04 23:40:44.879049+00:00,demo-1,23.937400034820666,True,
2025-10-04 23:40:45.879049+00:00,demo-1,24.347173987726116,True,
2025-10-04 23:40:46.879049+00:00,demo-1,23.89084565092066,True,
2025-10-04 23:40:47.879049+00:00,demo-1,23.90567493525353,True,
2025-10-04 23:40:48.879049+00:00,demo-1,23.183044143415543,True,
2025-10-04 23:40:49.879049+00:00,demo-1,24.391401492969067,True,
2025-10-04 23:40:50.879049+00:00,demo-1,24.136645850842196,True,
2025-10-04 23:40:51.879049+00:00,demo-1,24.230656931117167,True,
2025-10-04 23:40:52.879049+00:00,demo-1,23.15372957473075,True,
2025-10-04 23:40:53.879049+00:00,demo-1,25.06372705380344,True,
2025-10-04 23:40:54.879049+00:00,demo-1,24.169571114301146,True,
2025-10-04 23:40:55.879049+00:00,demo-1,23.848347970139955,True,
2025-10-04 23:40:56.879049+00:00,demo-1,25.301736981255868,True,
2025-10-04 23:40:57.879049+00:00,demo-1,24.06072329363007,True,
2025-10-04 23:40:58.879049+00:00,demo-1,23.221208485325217,True,
2025-10-04 23:40:59.879049+00:00,demo-1,23.85213929580513,True,
2025-10-04 23:41:00.879049+00:00,demo-1,22.725946743574546,True,
2025-10-04 23:41:01.879049+00:00,demo-1,24.7322330019751,True,
2025-10-04 23:41:02.879049+00:00,demo-1,23.85636920125607,True,
2025-10-04 23:41:03.879049+00:00,demo-1,23.664379830106604,True,
2025-10-04 23:41:04.879049+00:00,demo-1,24.757051590376605,True,
2025-10-04 23:41:05.879049+00:00,demo-1,23.1265811178124,True,
2025-10-04 23:41:06.879049+00:00,demo-1,24.442140419584362,True,
2025-10-04 23:41:07.879049+00:00,demo-1,22.885889613046373,True,
2025-10-04 23:41:08.879049+00:00,demo-1,23.7308979155402,True,
2025-10-04 23:41:09.879049+00:00,demo-1,23.40931595218975,True,
2025-10-04 23:41:10.879049+00:00,demo-1,25.012686872376523,True,
2025-10-04 23:41:11.879049+00:00,demo-1,25.198850936099983,True,
2025-10-04 23:41:12.879049+00:00,demo-1,23.945158328793696,True,
2025-10-04 23:41:13.879049+00:00,demo-1,24.650897933646498,True,
2025-10-04 23:41:14.879049+00:00,demo-1,24.0421167743666,True,
2025-10-04 23:41:15.879049+00:00,demo-1,24.49459557313506,True,
2025-10-04 23:41:16.879049+00:00,demo-1,23.705705127896945,True,
2025-10-04 23:41:17.879049+00:00,demo-1,23.13605208878605,True,
2025-10-04 23:41:18.879049+00:00,demo-1,23.082843720998515,True,
2025-10-04 23:41:19.879049+00:00,demo-1,24.398222453548435,True,
2025-10-04 23:41:20.879049+00:00,demo-1,25.520551902142806,True,
2025-10-04 23:41:21.879049+00:00,demo-1,24.33728645883848,True,
2025-10-04 23:41:22.879049+00:00,demo-1,23.864520381640276,True,
2025-10-04 23:41:23.879049+00:00,demo-1,25.330137186664277,True,
2025-10-04 23:41:24.879049+00:00,demo-1,24.328948717040653,True,
2025-10-04 23:41:25.879049+00:00,demo-1,24.25106874436491,True,
